segment,group,metric_id,metric,score,monthly_scores,is_group_score
branch,INITIAL GREET,wInitialgreet,INITIAL GREET OVERALL,87.5,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(40.0), 'JUL-2025': np.float64(90.0), 'AUG-2025': np.float64(90.0), 'SEP-2025': np.float64(90.0), 'OCT-2025': np.float64(90.0)}",True
branch,INITIAL GREET,iQ2a,Q2a.Person to greet at desk,87.5,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(0.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,INITIAL GREET,iQ2b,Q2b.Time taken to greet,93.8,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(50.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,INITIAL GREET,iQ2c,Q2c.Reasons for delay,,"{'MAR-2025': nan, 'APR-2025': nan, 'MAY-2025': nan, 'JUN-2025': nan, 'JUL-2025': nan, 'AUG-2025': nan, 'SEP-2025': nan, 'OCT-2025': nan}",False
branch,INITIAL GREET,iQ2d,Q2d.Was Greeted or Not,87.5,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(0.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,INITIAL GREET,iQ2e,Q2e.Greeting with Smile / Gratitude,68.8,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(50.0), 'JUL-2025': np.float64(50.0), 'AUG-2025': np.float64(50.0), 'SEP-2025': np.float64(50.0), 'OCT-2025': np.float64(50.0)}",False
branch,INITIAL GREET,iQ2f,Q2f.Sales Consultant Appearance,100.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,SALES CONSULTATION INTERACTION,wCONSULTANTINTERACTION,SALES CONSULTATION INTERACTION OVERALL,58.5,"{'MAR-2025': np.float64(67.7), 'APR-2025': np.float64(49.6), 'MAY-2025': np.float64(55.8), 'JUN-2025': np.float64(60.0), 'JUL-2025': np.float64(63.1), 'AUG-2025': np.float64(56.9), 'SEP-2025': np.float64(58.1), 'OCT-2025': np.float64(56.9)}",True
branch,SALES CONSULTATION INTERACTION,iQ3a,Q3a.SC's Manners throughout discussion,100.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,SALES CONSULTATION INTERACTION,iQ3b,Q3b.Did SC Recheck/confirm the customer details - Appointment Customers,50.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(0.0), 'MAY-2025': nan, 'JUN-2025': nan, 'JUL-2025': nan, 'AUG-2025': nan, 'SEP-2025': nan, 'OCT-2025': nan}",False
